                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8115,                 4.0308,                 3.6311,                0.44708,                0.08648,                0.04489,                0.01234,                 3.3365,                 3.5064,                 3.3921,               0.070045,              0.0033284,              0.0033284
                      2,                 3.1463,                 3.2809,                 3.0297,                0.13532,                0.19867,                 0.0965,                0.03096,                 2.8417,                 3.5603,                 2.9084,               0.039979,              0.0065958,              0.0065958
                      3,                 2.7706,                  2.923,                 2.6408,                0.17585,                0.16312,                0.09713,                0.03239,                 2.6856,                 3.3405,                 2.7673,              0.0098467,              0.0097971,              0.0097971
                      4,                 2.5521,                 2.7006,                 2.4092,                0.27613,                0.29271,                0.19349,                0.06575,                 2.5003,                 2.7381,                 2.5299,               0.009703,               0.009703,               0.009703
                      5,                 2.4213,                  2.578,                 2.2784,                0.35948,                0.35008,                0.28941,                0.09716,                 2.3745,                 2.5152,                 2.3911,               0.009703,               0.009703,               0.009703
                      6,                 2.3587,                 2.4884,                 2.2077,                0.38004,                0.34468,                0.29099,                0.10534,                 2.3526,                 2.4425,                 2.3893,               0.009604,               0.009604,               0.009604
                      7,                  2.291,                 2.3951,                  2.127,                0.41575,                0.37603,                0.34464,                0.11806,                 2.3101,                 2.4947,                 2.3387,               0.009505,               0.009505,               0.009505
                      8,                 2.2535,                 2.3575,                 2.0841,                0.38225,                0.38362,                 0.3254,                0.12116,                 2.2551,                 2.4282,                 2.2838,               0.009406,               0.009406,               0.009406
                      9,                 2.2272,                  2.294,                 2.0573,                0.50943,                0.45979,                0.46031,                0.17766,                 2.1835,                 2.1733,                 2.1849,               0.009307,               0.009307,               0.009307
                     10,                  2.192,                 2.2498,                 2.0309,                0.45879,                0.51655,                0.43453,                0.16444,                 2.1743,                 2.2114,                 2.1768,               0.009208,               0.009208,               0.009208
                     11,                 2.1587,                 2.2122,                 2.0094,                0.49756,                0.45618,                0.44368,                0.17611,                 2.1063,                 2.2138,                 2.1335,               0.009109,               0.009109,               0.009109
                     12,                 2.1376,                 2.1645,                 1.9993,                0.45931,                0.47297,                0.45112,                0.18135,                  2.089,                 2.1493,                   2.14,                0.00901,                0.00901,                0.00901
                     13,                 2.1249,                 2.1379,                  1.968,                0.53944,                0.49406,                0.50956,                0.21027,                 2.0886,                 1.9826,                 2.1297,               0.008911,               0.008911,               0.008911
                     14,                 2.1153,                 2.1101,                 1.9559,                0.53183,                0.50549,                0.50771,                0.21502,                 2.0725,                 1.9846,                 2.1123,               0.008812,               0.008812,               0.008812
                     15,                 2.0837,                 2.0713,                 1.9459,                0.49566,                0.53283,                0.51028,                0.22449,                 2.0039,                  1.911,                 2.0792,               0.008713,               0.008713,               0.008713
                     16,                 2.0739,                 2.0663,                  1.944,                0.58993,                0.56371,                0.57599,                0.24821,                 1.9955,                 1.9562,                 2.0365,               0.008614,               0.008614,               0.008614
                     17,                 2.0516,                 2.0507,                 1.9192,                0.58335,                0.53375,                0.57216,                0.24065,                 1.9983,                 1.9287,                 2.0331,               0.008515,               0.008515,               0.008515
                     18,                 2.0466,                 1.9864,                   1.89,                0.60132,                0.57084,                0.58162,                 0.2536,                 1.9704,                 1.8681,                 1.9918,               0.008416,               0.008416,               0.008416
                     19,                 2.0282,                  1.962,                 1.8855,                0.61327,                0.57012,                 0.5956,                0.25461,                 1.9836,                 1.8459,                 2.0135,               0.008317,               0.008317,               0.008317
                     20,                 2.0172,                  1.934,                 1.8759,                0.65601,                0.61877,                0.64116,                 0.2916,                 1.9435,                 1.7581,                 1.9957,               0.008218,               0.008218,               0.008218
                     21,                 2.0058,                 1.9191,                 1.8758,                0.66497,                0.57688,                0.65495,                0.30256,                 1.9282,                 1.7163,                 1.9853,               0.008119,               0.008119,               0.008119
                     22,                  1.992,                 1.9145,                 1.8557,                0.61008,                0.59961,                0.63108,                0.29597,                 1.9197,                 1.7312,                 1.9679,                0.00802,                0.00802,                0.00802
                     23,                  1.969,                 1.8784,                  1.837,                0.61952,                0.61294,                0.65164,                0.30856,                 1.9111,                 1.6933,                 1.9479,               0.007921,               0.007921,               0.007921
                     24,                 1.9799,                 1.8634,                 1.8461,                0.67798,                 0.6374,                0.66914,                0.31563,                 1.8922,                 1.6338,                 1.9313,               0.007822,               0.007822,               0.007822
                     25,                 1.9464,                 1.8348,                 1.8252,                0.68792,                0.66126,                0.69265,                0.32669,                 1.8599,                 1.6444,                 1.9037,               0.007723,               0.007723,               0.007723
                     26,                 1.9333,                 1.7926,                 1.8013,                0.67546,                0.66749,                0.69364,                0.32482,                 1.8384,                 1.6117,                  1.884,               0.007624,               0.007624,               0.007624
